"Net generation for all utility-scale solar"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=004&geo=qnifi05c03j78&sec=o3g&linechart=ELEC.GEN.SUN-US-99.M~ELEC.GEN.SUN-NV-99.M~ELEC.GEN.SUN-CA-99.M&columnchart=ELEC.GEN.SUN-US-99.M~ELEC.GEN.SUN-NV-99.M~ELEC.GEN.SUN-CA-99.M&map=ELEC.GEN.SUN-US-99.M&freq=M&start=200101&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Mon Sep 28 2020 02:09:31 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"South Atlantic : all sectors","thousand megawatthours","ELEC.GEN.SUN-SAT-99.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,4,3,3,4,3,5,9,10,10,9,9,9,9,7,7,11,13,23,15,16,8,11,10,16,9,13,9,17,12,28,33,30,28,38,29,28,37,38,62,26,39,52,45,67,70,67,63,67,73,52,58,57,74,100,103,130,116,119,127,112,141,80,84,90,77,134,157,223,208,229,216,152,138,106,169,213,238,429,400,382,430,450,580,468,407,347,467,480,579,704,801,897,786,887,806,789,691,667,598,793,728,1076,1250,1172,1283,1228,1253,968,1039,768,679,849,843,1340,1474,1578,1575,1675,1561,1438,1236,1015,905,1153,1331,1695,2057,2436,2267,2470
"South Atlantic : electric power",,"ELEC.GEN.SUN-SAT-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Atlantic : electric utility","thousand megawatthours","ELEC.GEN.SUN-SAT-1.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4,3,2,4,3,5,7,8,8,7,7,7,7,6,5,7,10,17,11,11,6,7,6,10,5,8,5,11,8,18,20,18,16,19,14,12,13,10,9,10,13,17,15,22,22,20,19,16,17,8,9,10,14,18,17,23,19,20,21,18,25,12,14,10,7,17,18,26,25,26,23,15,13,10,15,24,31,44,46,48,42,39,56,46,43,35,44,88,100,125,138,150,122,138,134,129,118,129,151,181,193,279,283,231,263,257,262,242,266,208,198,256,269,394,434,443,396,406,380,413,367,319,280,399,445,594,642,798,725,750
"South Atlantic : independent power producers","thousand megawatthours","ELEC.GEN.SUN-SAT-94.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,3,6,4,4,3,4,4,6,3,5,4,6,4,10,12,12,12,19,15,15,24,28,53,16,22,31,26,40,42,42,39,46,47,39,44,43,54,74,78,97,90,92,97,87,106,63,64,75,66,111,130,186,174,192,183,130,119,91,147,182,199,371,341,323,375,398,507,409,353,305,412,385,470,567,651,732,652,735,660,649,562,529,440,603,527,785,953,928,1005,957,976,717,763,552,474,585,566,933,1025,1120,1162,1251,1164,1010,857,687,618,746,875,1089,1400,1621,1526,1702
"South Atlantic : all commercial","thousand megawatthours","ELEC.GEN.SUN-SAT-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,5,6,5,5,5,8,5,5,4,6,7,7,9,8,8,9,7,9,5,5,5,4,7,8,11,10,11,10,7,6,5,7,7,8,15,13,11,13,14,18,13,10,7,11,8,10,12,13,14,12,13,12,12,10,9,7,9,8,11,14,13,14,14,14,10,10,7,6,8,8,12,14,15,16,17,16,13,12,9,7,8,10,11,14,17,16,17
"South Atlantic : all industrial","thousand megawatthours","ELEC.GEN.SUN-SAT-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"Delaware","thousand megawatthours","ELEC.GEN.SUN-DE-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware : all sectors","thousand megawatthours","ELEC.GEN.SUN-DE-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,3,2,2,3,2,2,2,1,1,2,3,4,3,5,5,4,4,5,5,3,3,2,3,4,4,5,5,5,5,4,5,3,3,2,2,4,4,6,6,6,5,4,3,2,4,2,2,4,4,4,4,4,5,5,5,5,6,3,4,4,5,5,5,5,5,4,4,3,3,3,3,5,5,4,5,5,5,4,4,3,3,"NM",3,4,5,5,6,6,6,5,4,3,"NM",3,4,4,6,7,6,7
"Delaware : electric power",,"ELEC.GEN.SUN-DE-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware : electric utility","thousand megawatthours","ELEC.GEN.SUN-DE-1.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"Delaware : independent power producers","thousand megawatthours","ELEC.GEN.SUN-DE-94.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,3,4,3,5,5,4,4,4,4,3,3,2,3,4,4,5,4,4,4,4,5,2,3,2,2,3,4,5,5,5,5,3,3,2,3,2,2,3,3,3,3,4,4,4,4,4,5,2,3,4,4,5,4,4,4,4,3,3,2,3,3,4,4,4,4,4,4,4,4,3,3,"NM",2,4,4,5,5,5,5,4,3,3,"NM","NM",3,4,5,6,6,6
"Delaware : all commercial","thousand megawatthours","ELEC.GEN.SUN-DE-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM","NM","NM","NM","NM","NM","NM","NM","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : all industrial","thousand megawatthours","ELEC.GEN.SUN-DE-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida","thousand megawatthours","ELEC.GEN.SUN-FL-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida : all sectors","thousand megawatthours","ELEC.GEN.SUN-FL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4,3,2,4,3,5,8,9,9,8,8,8,8,6,6,9,12,20,13,14,7,8,8,12,7,10,7,12,9,21,23,21,18,22,17,15,15,11,10,11,15,20,17,25,25,23,21,17,19,8,9,11,16,21,20,26,21,22,24,21,29,14,16,12,7,19,21,29,28,30,28,17,15,11,8,9,16,18,28,33,24,19,20,18,13,15,11,48,53,67,67,74,61,67,72,72,67,99,129,155,169,246,239,186,209,208,210,203,228,181,176,235,248,363,399,406,350,357,332,374,317,282,244,354,396,535,554,707,646,660
"Florida : electric power",,"ELEC.GEN.SUN-FL-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida : electric utility","thousand megawatthours","ELEC.GEN.SUN-FL-1.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4,3,2,4,3,5,7,7,7,6,6,7,6,5,5,7,10,16,11,11,6,7,6,9,5,8,4,10,7,17,19,17,15,18,14,12,12,9,8,9,12,16,14,20,20,19,17,14,15,6,7,9,13,17,15,21,16,17,19,16,23,10,13,9,5,15,16,23,22,24,21,13,11,8,6,6,11,13,20,24,17,14,14,13,9,11,8,44,49,62,61,66,49,54,59,59,54,73,106,127,144,207,198,150,174,174,175,171,194,158,155,203,221,315,347,349,298,303,283,325,279,249,217,318,357,481,496,639,560,571
"Florida : independent power producers","thousand megawatthours","ELEC.GEN.SUN-FL-94.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,1,1,1,2,2,4,2,3,2,2,2,3,1,2,2,2,2,4,4,4,3,4,3,3,3,2,2,2,3,4,3,5,5,4,4,3,3,1,2,2,3,4,4,5,5,5,5,5,6,3,3,2,1,4,4,6,6,6,7,4,4,3,2,3,5,5,8,9,7,5,5,5,3,4,3,3,4,5,6,8,12,12,12,13,12,25,22,27,25,38,40,36,35,34,34,32,33,23,21,31,27,47,50,56,51,53,47,48,37,33,27,35,39,53,57,67,84,87
"Florida : all commercial","thousand megawatthours","ELEC.GEN.SUN-FL-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"Florida : all industrial","thousand megawatthours","ELEC.GEN.SUN-FL-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","--","--","NM","NM"
"Maryland","thousand megawatthours","ELEC.GEN.SUN-MD-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : all sectors","thousand megawatthours","ELEC.GEN.SUN-MD-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,3,3,3,3,2,4,5,4,6,6,5,5,9,8,6,5,4,5,8,9,11,12,11,11,10,7,6,3,5,7,7,11,14,11,13,15,13,10,8,5,9,11,16,19,19,24,24,25,20,19,14,10,15,19,24,26,28,26,28,26,24,21,18,14,18,17,29,42,39,42,42,45,34,37,28,23,26,27,43,47,51,56,60,54,47,40,32,24,32,38,46,57,65,64,67
"Maryland : electric power",,"ELEC.GEN.SUN-MD-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : electric utility","thousand megawatthours","ELEC.GEN.SUN-MD-1.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM","NM",0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"Maryland : independent power producers","thousand megawatthours","ELEC.GEN.SUN-MD-94.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,3,3,3,2,2,2,3,3,3,4,4,4,4,8,7,5,4,4,5,7,8,10,11,10,10,9,6,5,3,4,6,6,9,12,10,11,13,11,9,7,5,8,10,15,17,18,22,22,23,18,17,13,9,14,18,22,24,26,25,26,24,23,20,17,13,16,16,28,40,38,40,40,43,32,36,27,22,24,25,40,44,48,52,57,51,44,37,30,23,30,36,44,54,62,60,64
"Maryland : all commercial","thousand megawatthours","ELEC.GEN.SUN-MD-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
